ID	CODIGO	DESCRIPCION	CODIGO GENERICO	CODIGO VINCULADO	LINEA	SUBLINEA	GRUPO	FAMILIA	SUBFAMILIA	CATEGORIA	TIPO	MARCA	MODELO	CAT MANAGEMENT	Estatus	CTV	PVP	RENTABILIDAD	RENTABILID PROY	VEL EFECT	SERVICIO	PROVEEDOR	PERFIL	T REP	F REP	BUFFER	INV PROVEEDOR	INV FISICO	CONS BUFF	COLOR	INV TRANSITO	NEGOCIACIÓN	PRODUCCIÓN	EMBARCADO	COMPROMETIDO	BACKORDER	INV PROYECTADO	CONSUMO INV PROY	COLOR1	PEDIDO MIN	PEDIDO MIN GRUPO	UNIDAD EMPAQUE	PEDIDO PROMEDIO	COBERT BUFFER	COBERT INV PROY	COBERT PEDID MIN	DIAS DESABASTECIM	ULT TRANSFER INI	ULT TRANSFER FIN	Columna1	Columna2	Columna3	Columna4	Columna5	Columna6	REQUERIM	REQ TOTAL	PO	EMBARQUES	Emb1	Emb2	Emb3	Emb4	Emb5	OBSERVACIONES	TAMAÑO RELATIVO	DESPACHO	RECIBIDO	TRANSITO	OBSERVACIONES DESPACHOS	OBSERVACIONES RECEPCIONES	TIPO TRANSF	Error Pedid Min Grupo	Color Proyectado	ZONA AMARILLA	ZONA ROJA
12	71420830	INSERTO TIB GENESIS II 5 6 DE 9 MM	0	0	0	0	0	0	INSERTO TIBIAL STANDARD GENESIS II	0	0	SMITH & NEPHEW	0	0	0	157.26	293.95	0	13.91	0	1	Bodega ECU	Clientes	1	2	5	1000000000	0	1	N	0	0	0	0	0	0	0	1	N	0	0	1	3	0	0	0	7	0	0	0	0	0	0	0	0	5	5			5	0	0	0	0		1.666666667			5			N	0	V	3	2
12	71420832	INSERTO TIB GENESIS II 5 6 DE 11 MM	0	0	0	0	0	0	INSERTO TIBIAL STANDARD GENESIS II	0	0	SMITH & NEPHEW	0	0	0	127.28	293.95	0	20.95	0	1	Bodega ECU	Clientes	1	2	5	1000000000	0	1	N	0	0	0	0	0	0	0	1	N	0	0	0	3	0	0	0	7	0	0	0	0	0	0	0	0	5	5			5	0	0	0	0		1.666666667			5			N	0	V	3	2
12	71420834	INSERTO TIB GENESIS II 5 6 DE 13 MM	0	0	0	0	0	0	INSERTO TIBIAL STANDARD GENESIS II	0	0	SMITH & NEPHEW	0	0	0	147.73	293.95	0	15.84	0	1	Bodega ECU	Clientes	1	2	5	1000000000	0	1	N	0	0	0	0	0	0	0	1	N	0	0	0	3	0	0	0	7	0	0	0	0	0	0	0	0	5	5			5	0	0	0	0		1.666666667			5			N	0	V	3	2
12	71420836	INSERTO TIB GENESIS II 5 6 DE 15 MM	0	0	0	0	0	0	INSERTO TIBIAL STANDARD GENESIS II	0	0	SMITH & NEPHEW	0	0	0	136.42	293.95	0	18.48	0	1	Bodega ECU	Clientes	1	2	5	1000000000	0	1	N	0	0	0	0	0	0	0	1	N	0	0	0	3	0	0	0	7	0	0	0	0	0	0	0	0	5	5			5	0	0	0	0		1.666666667			5			N	0	V	3	2
12	71420838	INSERTO TIB GENESIS II 5 6 DE 18 MM	0	0	0	0	0	0	INSERTO TIBIAL STANDARD GENESIS II	0	0	SMITH & NEPHEW	0	0	0	157.17	293.95	0	13.92	0	1	Bodega ECU	Clientes	1	2	2	1000000000	0	1	N	0	0	0	0	0	0	0	1	N	0	0	0	1	0	0	0	7	0	0	0	0	0	0	0	0	2	2			2	0	0	0	0		2			2			N	0	A	2	1
12	71420840	INSERTO TIB GENESIS II 5 6 DE 21 MM	0	0	0	0	0	0	INSERTO TIBIAL STANDARD GENESIS II	0	0	SMITH & NEPHEW	0	0	0	145.48	293.95	0	16.33	0	1	Bodega ECU	Clientes	1	2	2	1000000000	0	1	N	0	0	0	0	0	0	0	1	N	0	0	0	1	0	0	0	7	0	0	0	0	0	0	0	0	2	2			2	0	0	0	0		2			2			N	0	A	2	1
12	71420842	INSERTO TIB GENESIS II 5 6 DE 25 MM	0	0	0	0	0	0	INSERTO TIBIAL STANDARD GENESIS II	0	0	SMITH & NEPHEW	0	0	0	156.65	293.95	0	14.02	0	1	Bodega ECU	Clientes	1	2	2	1000000000	0	1	N	0	0	0	0	0	0	0	1	N	0	0	0	1	0	0	0	7	0	0	0	0	0	0	0	0	2	2			2	0	0	0	0		2			2			N	0	A	2	1
12	71420844	INSERTO TIB GENESIS II 7 8 DE 9 MM	0	0	0	0	0	0	INSERTO TIBIAL STANDARD GENESIS II	0	0	SMITH & NEPHEW	0	0	0	140.23	293.95	0	17.54	0	1	Bodega ECU	Clientes	1	2	5	1000000000	0	1	N	0	0	0	0	0	0	0	1	N	0	0	0	3	0	0	0	7	0	0	0	0	0	0	0	0	5	5			5	0	0	0	0		1.666666667			5			N	0	V	3	2
12	71420846	INSERTO TIB GENESIS II 7 8 DE 11 MM	0	0	0	0	0	0	INSERTO TIBIAL STANDARD GENESIS II	0	0	SMITH & NEPHEW	0	0	0	146.26	293.95	0	16.16	0	1	Bodega ECU	Clientes	1	2	4	1000000000	0	1	N	0	0	0	0	0	0	0	1	N	0	0	0	3	0	0	0	7	0	0	0	0	0	0	0	0	4	4			4	0	0	0	0		1.333333333			4			N	0	V	3	1
12	71420848	INSERTO TIB GENESIS II 7-8 DE 13 MM	0	0	0	0	0	0	INSERTO TIBIAL STANDARD GENESIS II	0	0	SMITH & NEPHEW	0	0	0	147.86	293.95	0	15.81	0	1	Bodega ECU	Clientes	1	2	4	1000000000	0	1	N	0	0	0	0	0	0	0	1	N	0	0	0	3	0	0	0	7	0	0	0	0	0	0	0	0	4	4			4	0	0	0	0		1.333333333			4			N	0	V	3	1
12	71420850	INSERTO TIB GENESIS II 7 8 DE 15 MM	0	0	0	0	0	0	INSERTO TIBIAL STANDARD GENESIS II	0	0	SMITH & NEPHEW	0	0	0	161.59	293.95	0	13.11	0	1	Bodega ECU	Clientes	1	2	4	1000000000	0	1	N	0	0	0	0	0	0	0	1	N	0	0	0	3	0	0	0	7	0	0	0	0	0	0	0	0	4	4			4	0	0	0	0		1.333333333			4			N	0	V	3	1
12	71420959	Legion Inserto Constreñido T. 1-2  9mm	0	0	0	0	0	0	Insertos Constreñidos	0	0	SMITH & NEPHEW	0	0	0	159.18	2	0	-15.8	0	1	Bodega ECU	Clientes	1	2	2	1000000000	0	1	N	0	0	0	0	0	0	0	1	N	0	0	1	1	0	0	0	7	0	0	0	0	0	0	0	0	2	2			2	0	0	0	0		2			2			N	0	A	2	1
12	71420960	Genesis Inserto Constreñido T. 1-2  11mm	0	0	0	0	0	0	Insertos Constreñidos	0	0	SMITH & NEPHEW	0	0	0	174.5	2	0	-15.82	0	1	Bodega ECU	Clientes	1	2	2	1000000000	0	1	N	0	0	0	0	0	0	0	1	N	0	0	1	1	0	0	0	7	0	0	0	0	0	0	0	0	2	2			2	0	0	0	0		2			2			N	0	A	2	1
