COD_EMPRESA	HOJA CB	Numero Fila	BODEGA	CODIGO	Posponer BUF	Posponer RED	Posponer GDB	Proveedor	Perfil	Buff Min	Buff Max	PEDID Min	Redondeo Pedido Mínimo	PEDID Min Grupo	Unidad Empaque	Redondeo Unidad Empaque	Porc Aten	Impacto Faltante	Observaciones	Nuevo Buff Real	Buff Act	Ult Buffer	Buff Ant Estacion	Buff Estacional	Ingresos	Egresos	Calendario Estacional	Inicio Per	Fin Per	DUMMY_FIELD
1.90334E+11	CTJE.xlsm	485	BP-MATRIZ	06.010.0005	43305		43305	3557 - VA	3557 - T20-F8			1	Clasificación		1	=	1				290	64						43249	43396	
1.90334E+11	CTJE.xlsm	486	BP-MATRIZ	06.010.0004	43363		43305	3557 - VA	3557 - T20-F8			1	Clasificación		1	=	1				50	150						43307	43454	
1.90334E+11	CTJE.xlsm	487	BP-MATRIZ	06.010.0003	43333		43110	243 - 	243-T24-F12			200	Clasificación		1	=	1				1000	1000						43249	43375	
1.90334E+11	CTJE.xlsm	488	BP-MATRIZ	06.010.0002	43333		43333	243 - 	243-T24-F12			300	Clasificación		1	=	1				800	800						43249	43375	
1.90334E+11	CTJE.xlsm	489	BP-MATRIZ	06.010.0001	43333		43186	243 - 	243-T24-F12			1000	Clasificación		1	=	1				6000	5000						43249	43375	
1.90334E+11	CTJE.xlsm	490	BP-MATRIZ	06.007.0010				3552 - RI	3552 - T21-F8			1	clasificación		1	=	1				14	0						43280	43434	
1.90334E+11	CTJE.xlsm	491	BP-MATRIZ	06.007.0009				3552 - RI	3552 - T21-F8			1	clasificación		1	=	1				56	0						43280	43434	
1.90334E+11	CTJE.xlsm	492	BP-MATRIZ	06.007.0008	43305		43320	3552 - RI	3552 - T21-F8			1	Clasificación		1	=	1				110	100						43264	43418	
1.90334E+11	CTJE.xlsm	493	BP-MATRIZ	06.007.0007	43333		43080	243 - 	243-T24-F12			150	Clasificación		1	=	1				270	360						43307	43433	
1.90334E+11	CTJE.xlsm	494	BP-MATRIZ	06.007.0005	43333		43081	243 - 	243-T24-F12			60	Clasificación		1	=	1				255	255						43187	43313	
1.90334E+11	CTJE.xlsm	495	BP-MATRIZ	06.007.0004	43305		43081	3552 - RI	3552 - T21-F8			1	Clasificación		1	=	1				300	280						43159	43313	
1.90334E+11	CTJE.xlsm	496	BP-MATRIZ	06.007.0003	43333		43116	243 - 	243-T24-F12			150	Clasificación		1	=	1				375	375						43187	43313	
1.90334E+11	CTJE.xlsm	497	BP-MATRIZ	06.007.0002	43333		43333	243 - 	243-T24-F12			200	Clasificación		1	=	1				200	200						43249	43375	
1.90334E+11	CTJE.xlsm	498	BP-MATRIZ	06.007.0001	43333		43081	243 - 	243-T24-F12			40	Clasificación		1	=	1				130	180						43307	43433	
1.90334E+11	CTJE.xlsm	499	BP-MATRIZ	06.003.0007				3552 - RI	3552 - T21-F8			1	clasificación		1	=	1				175	0						43280	43434	
1.90334E+11	CTJE.xlsm	500	BP-MATRIZ	06.003.0006				3552 - RI	3552 - T21-F8			1	clasificación		1	=	1				70	0						43280	43434	
1.90334E+11	CTJE.xlsm	501	BP-MATRIZ	06.003.0002	43333	42751	43333	243 - 	243-T24-F12			100	Clasificación		1	=	1				200	200						43249	43375	
1.90334E+11	CTJE.xlsm	502	BP-MATRIZ	06.003.0001	43333		43081	243 - 	243-T24-F12			100	Clasificación		1	=	1				300	180						43187	43313	
1.90334E+11	CTJE.xlsm	503	BP-MATRIZ	01.002.0004	43333		43145	243 - 	243-T24-F12			200	Clasificación		1	=	1				720	675						43187	43313	
1.90334E+11	CTJE.xlsm	504	BP-MATRIZ	01.002.0002				243 - 	243-T24-F12			1	clasificación		1	=	1				0	0						43280	43406	
1.90334E+11	CTJE.xlsm	505	BP-MATRIZ	01.002.0001	43333		43122	243 - 	243-T24-F12			200	Clasificación		1	=	1				500	500						43187	43313	
